0.662 8.99046e+02 1.15720e+00 3.22890e+01 1.05904e+00
0.835 1.15131e+03 1.21891e+00 3.55794e+01 1.05047e+00
1.022 1.42441e+03 1.44615e+00 4.08414e+01 1.31273e+00
1.461 2.08295e+03 1.80582e+00 5.35087e+01 1.45756e+00
2.200 3.19260e+03 2.45599e+00 7.23924e+01 1.97455e+00
2.500 3.64948e+03 2.51733e+00 7.39242e+01 1.99872e+00
Cs137 0.662 8.99046e+02 1.15720e+00 3.22890e+01 1.05904e+00
Mn54 0.835 1.15131e+03 1.21891e+00 3.55794e+01 1.05047e+00
1MeV 1.0 1.39267e+03 6.01962e-01 4.18610e+01 4.40321e-01
Ge68 1.022 1.42441e+03 1.44615e+00 4.08414e+01 1.31273e+00
K40 1.461 2.08295e+03 1.80582e+00 5.35087e+01 1.45756e+00
2MeV 2.0 2.89294e+03 9.70671e-01 6.74294e+01 7.14321e-01
nH 2.200 3.19260e+03 2.45599e+00 7.23924e+01 1.97455e+00
Co60 2.500 3.64948e+03 2.51733e+00 7.39242e+01 1.99872e+00
4MeV 4.0 5.93702e+03 1.42711e+00 9.94544e+01 9.93589e-01
6MeV 6.0 8.99995e+03 1.82640e+00 1.27134e+02 1.30818e+00
